machine_id,area_id,description_id,programmed_stop_id,minutes,hour,day_of_week
30665,1,6,1,60.0,17,6
30665,1,17,1,90.0,15,6
30665,1,6,1,105.0,7,6
30665,3,15,1,60.0,12,6
30664,3,15,1,60.0,12,6
30664,1,6,1,57.0,7,6
43857,4,1,3,515.0,10,6
43857,1,17,1,92.0,6,6
38598,1,6,1,265.0,10,6
38597,1,17,1,123.0,13,6
38597,1,17,1,51.0,17,6
38597,4,1,3,49.0,18,6
38596,4,1,3,150.0,12,6
45010,4,1,3,410.0,12,6
30650,5,19,1,20.0,8,6
30650,6,14,1,21.0,7,6
30650,6,13,1,135.0,15,6
30650,6,4,1,85.0,9,6
30650,6,4,1,60.0,11,6
30650,6,4,1,45.0,14,6
30650,6,4,1,77.0,17,6
30651,6,4,1,30.0,10,6
30651,6,4,1,105.0,13,6
30652,6,4,1,35.0,12,6
30652,4,1,3,270.0,14,6
30653,6,4,1,52.0,7,6
30653,6,4,1,42.0,9,6
30653,4,1,5,160.0,14,6
30653,6,4,1,50.0,17,6
30654,6,4,1,46.0,12,6
30654,4,1,3,250.0,15,6
30665,1,6,1,92.0,7,7
38598,1,6,1,360.0,6,7
38597,4,1,3,240.0,11,7
38596,4,1,3,240.0,11,7
30650,6,14,1,40.0,7,7
30650,6,4,1,76.0,8,7
30650,5,19,1,30.0,12,7
30650,6,14,1,41.0,12,7
30650,6,4,1,109.0,13,7
30651,4,1,2,490.0,6,7
30651,4,1,2,490.0,6,7
30652,6,4,1,60.0,6,7
30652,4,1,3,180.0,12,7
30653,6,4,1,180.0,12,7
30653,6,4,1,53.0,8,7
30654,3,15,1,140.0,9,7
30654,6,14,1,15.0,12,7
30654,3,15,1,20.0,13,7
30664,1,6,1,180.0,6,5
30650,6,14,1,58.0,9,5
30650,6,4,1,19.0,10,5
30650,6,14,1,65.0,13,5
30650,6,4,1,123.0,14,5
30650,6,19,1,120.0,17,5
44836,4,1,2,60.0,10,5
44836,4,1,3,235.0,15,5
44837,1,6,1,120.0,10,5
44837,4,1,3,235.0,15,5
45010,4,1,3,224.0,15,5
43857,1,6,1,65.0,6,5
43857,1,17,1,125.0,11,5
38598,1,6,1,225.0,11,5
38598,4,1,3,235.0,15,5
38597,1,17,1,44.0,16,5
38597,4,1,3,80.0,17,5
38596,4,1,2,120.0,10,5
30651,3,15,1,33.0,11,5
30651,6,4,1,79.0,11,5
30652,3,15,1,60.0,6,5
30652,3,15,1,125.0,13,5
30653,2,7,1,100.0,6,5
30653,6,4,1,57.0,13,5
30653,4,1,3,20.0,18,5
30654,6,4,1,78.0,13,5
30654,4,1,3,40.0,18,5
30665,3,15,1,60.0,9,6
30665,1,6,1,20.0,14,6
30664,1,6,1,230.0,15,6
30650,5,19,1,105.0,6,6
30650,6,4,1,98.0,9,6
30650,5,19,1,80.0,13,6
30650,6,13,1,60.0,14,6
30650,6,4,1,43.0,15,6
30650,6,13,1,125.0,17,6
30651,3,15,1,50.0,6,6
30651,6,4,1,50.0,10,6
30651,3,15,1,85.0,13,6
30652,6,4,1,80.0,6,6
30652,3,15,1,60.0,11,6
30652,6,4,1,60.0,14,6
30652,3,15,1,30.0,18,6
30653,2,7,1,10.0,6,6
30653,6,4,1,76.0,11,6
30653,6,13,1,130.0,17,6
30654,4,1,2,60.0,10,6
30654,6,4,1,94.0,11,6
30654,4,1,2,31.0,11,6
30654,6,4,1,28.0,17,6
45010,4,1,3,310.0,14,6
44837,4,1,3,230.0,15,6
44836,4,1,2,60.0,10,6
44836,1,6,1,165.0,12,6
44836,4,1,3,235.0,15,6
43857,4,1,3,490.0,11,6
38598,4,1,2,60.0,10,6
38598,4,1,3,310.0,14,6
38597,4,1,3,310.0,14,6
38596,4,1,3,310.0,14,6
30650,6,4,1,150.0,6,1
30650,6,14,1,14.0,11,1
30650,6,4,1,130.0,12,1
30652,2,7,1,20.0,6,1
30652,3,15,1,40.0,8,1
30652,4,1,3,36.0,14,1
38598,2,7,1,20.0,6,1
38598,1,6,1,30.0,9,1
38598,3,15,1,30.0,11,1
38597,2,7,1,20.0,6,1
38597,3,15,1,30.0,9,1
38597,3,15,1,30.0,12,1
43857,4,1,2,210.0,6,7
38597,2,7,1,10.0,6,7
38597,1,6,1,20.0,7,7
38597,4,1,3,345.0,9,7
30665,2,7,1,10.0,6,7
30665,1,6,1,450.0,7,7
30664,2,7,1,10.0,6,7
30664,5,12,1,20.0,7,7
30664,1,6,1,20.0,10,7
30650,2,7,1,13.0,6,7
30650,5,19,1,30.0,7,7
30650,6,4,1,76.0,9,7
30650,5,19,1,20.0,12,7
30650,6,4,1,20.0,14,7
30651,2,7,1,14.0,6,7
30651,6,14,1,30.0,9,7
30651,6,4,1,38.0,11,7
30651,3,15,1,110.0,13,7
30653,2,7,1,20.0,6,7
30653,6,4,1,47.0,12,7
30654,2,7,1,10.0,6,7
30654,6,4,1,25.0,8,7
30654,6,4,1,70.0,13,7
30650,6,14,1,29.0,8,7
30665,1,6,1,410.0,11,2
30664,1,6,1,130.0,12,2
30650,6,4,1,50.0,8,2
30650,5,19,1,60.0,16,2
30650,6,14,1,28.0,17,2
30650,6,14,1,88.0,16,2
30650,6,4,1,47.0,18,2
30650,6,13,1,65.0,19,2
30651,2,7,1,11.0,7,2
30651,6,4,1,44.0,9,2
30651,4,1,3,190.0,17,2
30652,4,1,1,60.0,19,2
30653,2,7,1,10.0,7,2
30653,6,4,1,46.0,13,2
30653,6,14,1,48.0,15,2
30654,2,7,1,7.0,7,2
30654,6,4,1,26.0,8,2
30654,6,4,1,40.0,13,2
30654,3,15,1,30.0,15,2
44837,4,1,2,43.0,11,2
44837,4,1,3,402.0,13,2
44836,4,1,2,55.0,11,2
44836,4,1,3,375.0,13,2
43857,4,1,3,250.0,16,2
38598,1,6,1,60.0,16,2
38598,4,1,3,150.0,17,2
38597,4,1,2,60.0,10,2
38596,4,1,3,370.0,14,2
30665,2,7,1,35.0,7,3
30665,1,6,1,300.0,7,3
30650,6,4,1,60.0,7,3
30650,6,14,1,14.0,10,3
30650,5,19,1,48.0,11,3
30650,6,4,1,174.0,15,3
30650,6,13,1,20.0,19,3
30651,2,7,1,10.0,7,3
30651,6,4,1,35.0,14,3
30651,4,1,3,190.0,17,3
30652,2,7,1,10.0,7,3
30652,6,4,1,85.0,10,3
30652,6,4,1,38.0,12,3
30652,4,1,1,140.0,13,3
30653,6,4,1,39.0,12,3
30653,6,4,1,57.0,14,3
30653,4,1,1,208.0,16,3
30654,2,7,1,10.0,7,3
30654,6,4,1,30.0,12,3
45010,4,1,3,362.0,14,3
44837,1,6,1,106.0,11,3
44837,4,1,3,310.0,15,3
43857,4,1,2,50.0,11,3
43857,4,1,3,220.0,16,3
38598,1,6,1,45.0,7,3
38598,4,1,1,100.0,14,3
38597,4,1,2,80.0,11,3
38597,4,1,1,146.0,17,3
38596,4,1,1,50.0,11,3
38596,1,6,1,91.0,12,3
38596,4,1,3,250.0,16,3
30664,2,7,1,20.0,7,3
30664,1,6,1,20.0,8,3
30665,2,7,1,5.0,7,4
30665,1,6,1,28.0,11,4
30664,1,6,1,130.0,7,4
30664,1,6,1,60.0,11,4
30650,2,3,1,10.0,7,4
30650,6,13,1,41.0,8,4
30650,6,4,1,38.0,10,4
30650,6,14,1,78.0,12,4
30650,6,4,1,53.0,16,4
30650,5,19,1,70.0,18,4
30651,2,3,1,10.0,7,4
30651,3,15,1,9.0,7,4
30651,4,1,5,40.0,11,4
30651,6,4,1,36.0,11,4
30651,3,15,1,60.0,15,4
30652,4,1,2,60.0,11,4
30652,6,4,1,35.0,13,4
30652,4,1,3,250.0,16,4
30653,4,1,2,60.0,11,4
30653,6,4,1,32.0,13,4
30653,4,1,5,217.0,13,4
30653,4,1,3,63.0,19,4
30654,4,1,2,41.0,7,4
30654,4,1,2,150.0,8,4
30654,6,4,1,33.0,13,4
30654,4,1,3,80.0,14,4
45010,4,1,3,361.0,14,4
44837,4,1,1,45.0,11,4
44837,4,1,3,250.0,16,4
44836,4,1,2,40.0,11,4
44836,4,1,3,340.0,14,4
43857,2,3,1,10.0,7,4
43857,4,1,3,160.0,13,4
38598,1,6,1,162.0,13,4
38598,4,1,3,250.0,16,4
30665,1,6,1,170.0,7,4
38597,1,6,1,70.0,15,4
38596,4,1,3,370.0,14,4
38596,3,15,1,5.0,13,4
30665,2,3,1,69.0,7,5
30665,1,6,1,120.0,11,5
30665,1,17,1,40.0,19,5
30664,1,6,1,25.0,8,5
30650,6,4,1,30.0,8,5
30650,5,19,1,35.0,10,5
30650,6,4,1,44.0,11,5
30650,6,14,1,70.0,14,5
30650,6,4,1,71.0,17,5
30650,6,4,1,50.0,18,5
30651,6,4,1,20.0,14,5
30654,6,4,1,70.0,19,5
30652,4,1,2,60.0,11,5
30653,6,4,2,40.0,14,5
30653,6,13,3,40.0,15,5
30654,2,3,1,5.0,7,5
30654,1,6,1,53.0,9,5
30654,6,9,1,163.0,13,5
45010,4,1,3,250.0,16,5
44837,4,1,3,250.0,16,5
44837,4,1,2,40.0,11,5
44836,1,6,1,18.0,13,5
44836,4,1,3,250.0,16,5
43857,4,1,1,90.0,11,5
43857,4,1,3,370.0,14,5
38598,4,1,2,80.0,11,5
38598,1,6,1,40.0,12,5
38598,1,6,1,40.0,14,5
38597,1,6,1,26.0,8,5
38597,1,17,4,58.0,12,5
38597,4,1,1,140.0,15,5
38597,4,1,3,51.0,19,5
38596,4,1,2,80.0,11,5
38596,4,1,3,250.0,16,5
38597,1,6,1,60.0,7,5
30665,1,6,1,180.0,7,6
30664,1,6,1,11.0,17,6
30650,2,3,1,3.0,7,6
30650,5,1,4,548.0,7,6
30650,5,19,1,60.0,17,6
30651,6,4,1,70.0,11,6
30651,3,15,1,90.0,14,6
30652,6,4,1,257.0,9,6
30652,6,4,1,58.0,19,6
30652,6,4,1,257.0,9,6
30654,4,1,3,545.0,11,6
45010,4,1,2,120.0,7,6
45010,4,1,3,70.0,15,6
43857,4,1,3,280.0,15,6
38598,1,6,1,15.0,16,6
38598,4,1,3,190.0,17,6
38597,1,6,1,40.0,8,6
38597,2,3,1,76.0,7,6
38597,4,1,5,160.0,10,6
38597,3,15,1,29.0,18,6
38596,2,3,1,10.0,7,6
38596,1,6,1,60.0,13,6
38596,4,1,3,130.0,14,6
30652,6,4,1,44.0,15,6
30665,2,3,1,10.0,6,7
30665,1,6,1,16.0,8,7
30665,4,1,3,30.0,14,7
30664,2,3,1,32.0,6,7
30664,4,1,3,424.0,7,7
30650,2,3,1,25.0,6,7
30650,6,4,1,70.0,7,7
30650,6,14,1,80.0,9,7
30650,4,1,3,98.0,13,7
30651,2,3,1,10.0,6,7
30651,6,13,1,30.0,8,7
30651,4,1,3,130.0,12,7
30653,2,3,1,10.0,6,7
30653,6,13,1,42.0,6,7
30653,6,4,1,109.0,7,7
30653,6,4,1,56.0,12,7
30653,6,13,1,84.0,13,7
30654,2,3,1,5.0,6,7
30654,6,4,1,33.0,6,7
30654,6,4,1,58.0,7,7
30654,6,4,1,60.0,8,7
30654,4,1,1,290.0,10,7
38598,4,1,3,475.0,7,7
45010,4,1,3,180.0,12,1
43857,2,3,1,20.0,6,1
43857,4,1,3,470.0,7,1
30664,3,15,1,30.0,6,1
30664,1,6,1,15.0,9,1
30650,6,4,1,10.0,6,1
30650,5,19,1,65.0,7,1
30650,6,4,1,750.0,11,1
30650,6,13,1,150.0,12,1
30653,4,1,2,40.0,6,1
30653,6,13,1,60.0,11,1
30654,6,4,1,120.0,6,1
30654,4,1,5,60.0,10,1
30654,6,4,1,70.0,13,1
30665,3,15,1,18.0,9,2
30665,1,12,1,13.0,9,2
30665,1,6,1,27.0,13,2
30665,1,6,1,9.0,14,2
30664,2,3,1,5.0,7,2
43857,2,7,1,35.0,7,2
43857,4,1,2,60.0,8,2
43857,4,1,3,592.0,10,2
38597,4,1,2,201.0,7,2
38597,1,6,1,21.0,13,2
38597,4,1,3,355.0,14,2
38596,4,1,2,245.0,7,2
38596,2,16,1,54.0,14,2
38596,4,1,3,250.0,16,2
30651,6,4,1,51.0,7,2
30651,6,4,1,45.0,10,2
30651,6,4,1,44.0,14,2
30651,4,1,3,250.0,16,2
30652,1,6,1,6.0,13,2
30652,6,13,1,60.0,15,2
30652,4,1,3,250.0,16,2
30653,4,1,2,280.0,7,2
30653,6,4,1,50.0,13,2
30653,6,13,1,60.0,19,2
30654,4,1,2,78.0,7,2
30654,3,15,1,130.0,9,2
30654,6,13,1,176.0,14,2
30654,6,4,3,55.0,19,2
30665,1,6,1,15.0,9,2
30665,1,6,1,15.0,9,3
30665,1,6,1,15.0,12,3
30665,1,18,1,82.0,13,3
30665,1,6,1,16.0,19,3
30664,1,6,1,20.0,9,3
30664,1,8,1,37.0,17,3
30664,1,8,1,27.0,19,3
44837,4,1,2,290.0,7,3
44837,4,1,3,212.0,12,3
43857,3,1,2,280.0,7,3
43857,4,1,3,60.0,15,3
38597,4,1,2,80.0,7,3
38597,1,6,1,67.0,9,3
38597,1,17,4,50.0,12,3
38597,4,1,3,90.0,14,3
38596,4,1,2,290.0,7,3
38596,2,16,1,58.0,13,3
30650,6,4,1,80.0,7,3
30650,6,14,1,10.0,9,3
30650,6,4,1,68.0,11,3
30650,5,19,1,35.0,15,3
30650,6,4,1,50.0,17,3
30650,4,1,3,40.0,19,3
30651,4,1,4,218.0,9,3
30652,4,1,2,290.0,7,3
30652,4,1,3,180.0,13,3
30653,6,4,1,49.0,17,3
30653,4,1,1,50.0,18,3
30654,6,4,1,39.0,10,3
30654,4,1,4,110.0,10,3
30654,6,4,1,40.0,13,3
30665,1,6,1,509.0,7,4
30665,1,6,1,36.0,18,4
30664,1,6,1,49.0,10,4
30650,5,19,1,10.0,7,4
30650,6,14,1,25.0,8,4
30650,6,4,1,843.0,10,4
30650,6,14,1,27.0,12,4
30650,6,4,1,231.0,13,4
30650,5,19,1,27.0,18,4
30650,6,13,1,85.0,18,4
30651,4,1,2,50.0,11,4
30651,4,1,5,60.0,14,4
30652,4,22,3,520.0,11,4
30653,6,4,1,26.0,8,4
30653,4,1,5,40.0,10,4
30653,4,1,5,40.0,15,4
30654,4,1,2,155.0,11,4
30654,6,4,1,54.0,17,4
45010,4,1,3,290.0,11,4
43857,4,1,5,50.0,11,4
43857,4,1,3,290.0,15,4
38598,4,1,5,40.0,11,4
38598,4,1,3,310.0,15,4
38597,4,1,3,210.0,12,4
38596,4,1,5,40.0,11,4
38596,4,1,3,360.0,14,4
30665,1,6,1,180.0,11,5
30650,6,13,1,210.0,7,5
30650,6,14,1,26.0,12,5
30650,6,4,1,74.0,12,5
30650,6,4,1,153.0,14,5
30650,5,19,1,26.0,18,5
30651,6,4,1,50.0,12,5
30653,4,1,2,45.0,7,5
30653,4,1,5,88.0,9,5
30653,6,4,1,20.0,14,5
30654,6,4,1,20.0,10,5
30654,6,4,1,37.0,15,5
30654,4,1,3,88.0,17,5
30654,4,1,3,20.0,19,5
45010,4,1,3,265.0,15,5
43857,4,1,5,110.0,11,5
43857,4,1,3,310.0,15,5
38598,4,1,3,250.0,16,5
38597,2,3,1,10.0,7,5
38597,1,17,1,52.0,11,5
38597,4,1,3,135.0,13,5
38596,4,1,3,350.0,14,5
30665,3,15,1,20.0,7,6
30665,1,17,1,60.0,14,6
30650,6,4,1,70.0,7,6
30650,6,4,1,80.0,13,6
30650,6,4,1,70.0,17,6
30650,6,4,1,48.0,19,6
30651,3,15,1,10.0,7,6
30651,3,15,1,10.0,7,6
30651,3,15,1,60.0,14,6
30653,4,1,2,90.0,7,6
30653,6,4,1,120.0,12,6
30653,6,4,1,20.0,15,6
30654,4,1,2,30.0,7,6
30654,6,4,1,40.0,10,6
30654,4,1,5,60.0,11,6
30654,6,4,1,70.0,15,6
30654,4,1,1,76.0,18,6
45010,4,1,3,130.0,18,6
43857,4,1,2,120.0,11,6
43857,4,1,3,240.0,16,6
38598,4,1,5,60.0,11,6
38598,4,1,3,150.0,17,6
38597,4,1,5,60.0,11,6
38597,4,1,3,240.0,16,6
38596,4,1,5,60.0,11,6
38596,4,1,3,60.0,14,6
30665,1,6,1,18.0,7,2
30665,1,6,1,16.0,8,2
30665,1,6,1,10.0,10,2
30665,1,6,1,8.0,11,2
30665,1,18,1,40.0,13,2
30664,1,6,1,12.0,13,2
30664,1,6,1,5.0,14,2
30664,1,18,1,30.0,16,2
45010,4,1,2,305.0,7,2
43857,1,6,1,17.0,15,2
43857,4,1,2,305.0,7,2
43857,1,17,1,30.0,17,2
38598,4,1,2,305.0,7,2
38598,4,1,3,70.0,19,2
38597,4,1,2,305.0,7,2
38596,4,1,2,305.0,7,2
38596,3,15,1,25.0,15,2
38596,4,1,3,300.0,16,2
30650,5,19,1,25.0,7,2
30650,6,13,1,35.0,7,2
30650,6,14,1,19.0,9,2
30650,6,4,1,142.0,12,2
30650,6,14,1,32.0,15,2
30650,6,14,1,10.0,16,2
30650,5,19,1,25.0,17,2
30650,6,14,1,22.0,18,2
30650,4,1,3,70.0,19,2
30651,6,4,1,127.0,10,2
30651,4,1,3,300.0,16,2
30653,4,22,1,241.0,7,2
30653,4,22,1,61.0,17,2
30654,4,1,2,300.0,7,2
30654,6,4,1,33.0,18,2
30664,1,18,1,61.0,9,3
30664,1,6,1,16.0,14,3
44837,4,1,2,300.0,7,3
44837,1,6,1,41.0,14,3
44837,4,22,1,130.0,17,3
43857,2,3,1,8.0,7,3
43857,1,6,1,10.0,9,3
43857,1,17,1,68.0,11,3
43857,4,22,1,229.0,16,3
38597,4,1,2,300.0,7,3
38597,4,1,3,300.0,16,3
38596,4,1,2,300.0,7,3
38596,3,15,1,15.0,14,3
38596,4,1,3,300.0,16,3
